Date,latitude,longitude,mag
737054.0,19.4284,-157.1492,3.4
737046.0,19.3263333,-155.1961667,3.49
736990.0,20.5131667,-155.143,3.6
736988.0,19.3488333,-155.1061667,3.83
736982.0,19.945,-155.3038333,1.67
736981.0,18.8715,-155.2341667,3.87
736976.0,19.5173333,-155.6643333,3.61
736965.0,20.1385,-155.7918333,3.95
736958.0,19.3381667,-155.1086667,3.69
736952.0,20.3826667,-156.9008333,3.66
736948.0,19.7553333,-155.566,3.34
736915.0,19.3703333,-155.0285,4.41
736910.0,19.3898333,-155.268,3.47
736910.0,19.4081667,-155.284,3.35
736910.0,19.4146667,-155.2603333,3.56
736910.0,19.4161667,-155.2738333,3.44
736910.0,19.4135,-155.265,2.62
736910.0,19.3991667,-155.2788333,3.28
736910.0,19.4063333,-155.286,3.35
736910.0,19.3955,-155.2728333,2.89
736910.0,19.4161667,-155.2766667,3.96
736909.0,19.4135,-155.2646667,3.11
736908.0,19.4166667,-155.2743333,3.87
736908.0,19.4175,-155.2705,3.54
736908.0,19.4081667,-155.2606667,3.35
736908.0,19.3658333,-155.278,2.69
736908.0,19.3926667,-155.2726667,3.09
736908.0,19.4136667,-155.2658333,3.53
736908.0,19.4168333,-155.2776667,3.69
736908.0,19.4065,-155.287,3.61
736908.0,19.4111667,-155.284,3.07
736908.0,19.4161667,-155.2706667,3.6
736908.0,19.3998333,-155.2673333,2.72
736908.0,19.4096667,-155.2643333,3.68
736908.0,19.4066667,-155.2861667,3.36
736908.0,19.4155,-155.2755,3.36
736908.0,19.3996667,-155.2735,2.83
736907.0,19.4125,-155.2655,2.92
736907.0,19.4171667,-155.2765,3.28
736907.0,19.4076667,-155.2841667,3.3
736907.0,19.4181667,-155.2761667,3.36
736907.0,19.4136667,-155.266,2.97
736906.0,19.4081667,-155.2843333,3.11
736906.0,19.3978333,-155.2621667,3.37
736906.0,19.4141667,-155.2765,3.66
736906.0,19.4123333,-155.2623333,3.29
736906.0,19.4018333,-155.2895,4.11
736906.0,19.4126667,-155.2845,3.7
736906.0,19.4106667,-155.286,3.08
736906.0,19.396,-155.2791667,3.24
736906.0,19.4068333,-155.2606667,3.61
736906.0,19.3988333,-155.2735,3.43
736906.0,19.4163333,-155.2785,3.27
736906.0,19.4145,-155.2641667,2.81
736906.0,19.4148333,-155.2778333,3.47
736905.0,19.401,-155.2633333,3.27
736905.0,19.4135,-155.2613333,3.12
736905.0,19.4153333,-155.2773333,3.33
736905.0,19.3508333,-155.1226667,4.07
736904.0,19.3911667,-155.2743333,3.65
736904.0,19.42,-155.275,3.86
736904.0,19.412,-155.2643333,3.71
736904.0,19.316,-155.108,1.52
736904.0,19.4,-155.2723333,3.39
736904.0,19.4165,-155.277,3.4
736904.0,19.4095,-155.2846667,3.38
736904.0,19.41,-155.2716667,2.91
736904.0,19.4006667,-155.2736667,3.61
736904.0,19.4135,-155.2778333,2.83
736904.0,19.4128333,-155.2616667,3.12
736904.0,19.4178333,-155.2731667,3.31
736904.0,19.4195,-155.2765,3.29
736903.0,19.4076667,-155.2856667,3.37
736903.0,19.391,-155.2811667,2.22
736903.0,19.4111667,-155.2635,3.03
736903.0,19.4095,-155.2698333,3.61
736903.0,19.3945,-155.2783333,3.18
736903.0,19.4101667,-155.2826667,3.26
736903.0,19.417,-155.2783333,3.42
736903.0,19.417,-155.2636667,2.9
736903.0,19.3988333,-155.2771667,3.63
736903.0,19.4066667,-155.2903333,3.27
736903.0,19.4101667,-155.2691667,3.53
736902.0,19.4088333,-155.261,3.37
736902.0,19.416,-155.2775,3.44
736902.0,19.1916667,-155.4978333,3.76
736902.0,19.4085,-155.2868333,3.13
736902.0,19.4125,-155.2656667,3.6
736902.0,19.4473333,-155.4711667,1.04
736901.0,19.413,-155.2653333,3.27
736901.0,19.4113333,-155.2828333,2.76
736901.0,19.4156667,-155.2631667,3.52
736901.0,19.403,-155.272,3.47
736901.0,19.4168333,-155.271,3.15
736901.0,19.3916667,-155.278,3.17
736901.0,19.516,-155.7196667,1.49
736901.0,19.416,-155.277,3.41
736901.0,19.3681667,-155.0126667,1.49
736901.0,19.3955,-155.2676667,3.43
736901.0,19.4076667,-155.2861667,3.09
736901.0,19.3941667,-155.2788333,3.37
736901.0,19.415,-155.2776667,3.6
736901.0,19.3991667,-155.2828333,3.92
736901.0,19.3995,-155.2645,3.57
736901.0,19.4155,-155.2763333,3.62
736901.0,19.4125,-155.2806667,2.75
736900.0,19.414,-155.2643333,3.02
736900.0,19.4125,-155.2768333,2.81
736899.0,19.4141667,-155.2821667,5.3
736899.0,19.418,-155.271,2.96
736899.0,19.4105,-155.2638333,3.44
736899.0,19.4001667,-155.2736667,3.36
736899.0,19.3973333,-155.2683333,3.55
736899.0,19.409,-155.2688333,2.65
736899.0,19.4068333,-155.2858333,3.12
736899.0,19.4141667,-155.2625,3.59
736899.0,19.415,-155.2728333,3.26
736899.0,19.4165,-155.2596667,3.0
736899.0,19.4108333,-155.2916667,3.03
736899.0,19.3978333,-155.267,2.74
736899.0,19.4153333,-155.276,3.82
736898.0,19.4101667,-155.2833333,5.3
736898.0,19.4048333,-155.287,3.6
736898.0,19.396,-155.2665,3.84
736898.0,19.4145,-155.2636667,3.01
736898.0,19.4048333,-155.2735,3.01
736898.0,19.4121667,-155.2626667,3.12
736898.0,19.4151667,-155.276,3.2
736898.0,19.4131667,-155.2753333,3.57
736898.0,19.399,-155.2755,3.62
736897.0,19.4138333,-155.2635,3.41
736897.0,19.4105,-155.2795,3.67
736897.0,19.399,-155.269,3.4
736897.0,19.3985,-155.2811667,3.23
736897.0,19.4,-155.2733333,2.64
736897.0,19.414,-155.283,3.57
736897.0,19.413,-155.2615,3.06
736897.0,19.4126667,-155.2625,3.24
736896.0,19.4018333,-155.288,5.3
736896.0,19.3871,-155.273,3.8
736896.0,19.4146667,-155.2786667,3.54
736896.0,19.3968333,-155.2766667,3.32
736896.0,19.4071667,-155.2863333,2.68
736896.0,19.4125,-155.2613333,3.02
736896.0,19.4145,-155.278,3.43
736896.0,19.4165,-155.28,3.46
736896.0,19.4116667,-155.263,3.09
736896.0,19.4111667,-155.2738333,3.55
736896.0,19.4091667,-155.2691667,3.39
736896.0,19.4125,-155.2616667,3.1
736896.0,19.4105,-155.2818333,2.37
736896.0,19.4135,-155.266,3.34
736896.0,19.3976667,-155.2793333,3.55
736896.0,19.4078333,-155.2865,3.16
736896.0,19.4166667,-155.2768333,3.51
736896.0,19.3973333,-155.2761667,3.31
736896.0,19.4073333,-155.2855,3.12
736896.0,19.4061667,-155.2886667,2.48
736895.0,19.4163333,-155.2778333,3.39
736895.0,19.4078333,-155.263,2.3
736895.0,19.4121667,-155.2645,3.26
736895.0,19.4103333,-155.2816667,5.3
736895.0,19.4131667,-155.266,3.65
736895.0,19.3961667,-155.2733333,3.03
736894.0,19.4106667,-155.2818333,3.55
736894.0,19.4155,-155.2748333,3.64
736894.0,19.4126667,-155.2608333,3.04
736894.0,19.4175,-155.267,3.01
736894.0,19.4021667,-155.2886667,3.65
736894.0,19.4001667,-155.2786667,3.3
736894.0,19.3998333,-155.27,2.99
736894.0,19.4081667,-155.278,3.35
736894.0,19.4131667,-155.2616667,3.19
736894.0,19.3996667,-155.268,3.38
736894.0,19.4153333,-155.276,3.56
736894.0,19.4101667,-155.2645,0.89
736894.0,19.416,-155.2635,3.44
736894.0,19.4128333,-155.2636667,3.39
736894.0,19.4151667,-155.264,3.82
736894.0,19.3978333,-155.2678333,3.27
736894.0,19.4128333,-155.2683333,3.41
736894.0,19.399,-155.2681667,3.53
736894.0,19.415,-155.264,3.29
736894.0,19.4108333,-155.2771667,2.81
736894.0,19.3975,-155.269,3.48
736893.0,19.202,-155.4525,1.73
736893.0,19.3961667,-155.2748333,5.3
736893.0,19.3966667,-155.2611667,3.16
736893.0,19.4145,-155.2651667,3.28
736893.0,19.4163333,-155.278,3.25
736893.0,19.3993333,-155.263,2.34
736893.0,19.3391667,-155.1356667,0.68
736893.0,19.413,-155.2765,2.95
736893.0,19.4138333,-155.2623333,2.99
736893.0,19.4163333,-155.2791667,3.85
736893.0,19.4126667,-155.2625,3.04
736893.0,19.4118333,-155.2653333,3.29
736893.0,19.4161667,-155.2776667,3.62
736893.0,19.4163333,-155.2776667,2.88
736893.0,19.4153333,-155.2608333,3.34
736893.0,19.4168333,-155.2718333,2.78
736893.0,19.4036667,-155.2865,2.42
736893.0,19.4105,-155.2835,2.55
736892.0,19.4111667,-155.2741667,3.72
736892.0,19.4133333,-155.2651667,3.33
736892.0,19.413,-155.2626667,3.52
736891.0,19.3995,-155.2775,5.3
736891.0,19.3993333,-155.2765,4.04
736891.0,19.4161667,-155.2756667,3.71
736891.0,19.4133333,-155.265,3.25
736891.0,19.4013333,-155.2688333,3.56
736891.0,19.4135,-155.2658333,3.22
736891.0,19.4106667,-155.2753333,3.69
736891.0,19.4033333,-155.2718333,2.91
736891.0,19.4113333,-155.2635,3.13
736891.0,19.4163333,-155.2778333,3.73
736891.0,19.4005,-155.2698333,2.61
736891.0,19.4141667,-155.273,2.77
736890.0,19.4006667,-155.2725,3.85
736890.0,19.4116667,-155.2625,3.12
736890.0,19.4085,-155.2846667,3.13
736890.0,19.4165,-155.277,3.79
736890.0,19.4131667,-155.2635,3.47
736890.0,19.3955,-155.2806667,3.3
736890.0,19.4,-155.266,3.33
736890.0,19.4165,-155.278,3.6
736890.0,19.4158333,-155.271,3.29
736890.0,19.4001667,-155.2745,3.16
736890.0,19.4168333,-155.2766667,3.73
736890.0,19.4128333,-155.2615,3.41
736889.0,19.4116667,-155.2751667,3.54
736889.0,19.4128333,-155.2631667,3.21
736889.0,19.4003333,-155.2886667,2.72
736889.0,19.3975,-155.2905,3.54
736889.0,19.4193333,-155.2768333,4.36
736889.0,19.3996667,-155.2678333,3.1
736889.0,19.4175,-155.276,3.86
736889.0,19.4131667,-155.2663333,3.57
736889.0,19.4031667,-155.2748333,3.37
736888.0,19.4108333,-155.2791667,3.34
736888.0,19.3961667,-155.2883333,3.3
736888.0,19.4175,-155.2663333,3.26
736888.0,19.413,-155.262,3.36
736888.0,19.3703333,-154.9735,3.63
736888.0,19.4116667,-155.2605,3.26
736888.0,19.4138333,-155.2778333,3.39
736888.0,19.4173333,-155.2731667,2.5
736888.0,19.4135,-155.265,3.25
736887.0,19.4188333,-155.2746667,3.63
736887.0,19.4131667,-155.2645,3.38
736887.0,19.4138333,-155.2636667,3.25
736887.0,19.3995,-155.2658333,3.56
736887.0,19.406,-155.2851667,3.52
736887.0,19.4093333,-155.281,3.38
736887.0,19.4151667,-155.2773333,3.77
736887.0,19.4136667,-155.2645,3.31
736887.0,19.413,-155.2636667,3.22
736887.0,19.4123333,-155.2658333,3.18
736886.0,19.4183333,-155.2796667,3.63
736886.0,19.4126667,-155.2656667,3.25
736886.0,19.4096667,-155.2783333,3.25
736886.0,19.3818333,-154.9623333,1.48
736886.0,19.3995,-155.2855,3.45
736886.0,19.4126667,-155.2685,3.6
736886.0,19.399,-155.2773333,3.66
736886.0,19.4188333,-155.2736667,3.63
736886.0,19.332,-155.1418333,0.99
736886.0,19.4141667,-155.2625,3.32
736886.0,19.4163333,-155.2773333,3.51
736886.0,19.4151667,-155.272,2.05
736886.0,19.4013333,-155.264,3.36
736886.0,19.2115,-155.4068333,3.79
736886.0,19.1941667,-155.3968333,2.76
736886.0,19.4133333,-155.2596667,3.33
736886.0,19.4143333,-155.2853333,2.94
736886.0,19.4065,-155.2865,3.2
736886.0,19.404,-155.2738333,3.59
736886.0,19.4146667,-155.2771667,3.58
736886.0,19.4143333,-155.2635,3.3
736886.0,19.4135,-155.2626667,3.27
736886.0,19.4126667,-155.276,2.92
736886.0,19.401,-155.2905,3.13
736886.0,19.3996667,-155.2653333,2.71
736886.0,19.4155,-155.2618333,3.96
736886.0,19.4181667,-155.2763333,3.42
736886.0,19.414,-155.2753333,2.77
736886.0,19.4008333,-155.2663333,3.03
736885.0,19.411,-155.2823333,3.34
736885.0,19.4113333,-155.2605,3.09
736885.0,19.397,-155.2736667,3.59
736885.0,19.416,-155.2746667,3.76
736885.0,19.4141667,-155.2648333,3.39
736885.0,19.4835,-155.4351667,1.18
736885.0,19.4135,-155.2636667,3.19
736885.0,19.3981667,-155.269,3.54
736885.0,19.4131667,-155.2625,3.08
736885.0,19.4168333,-155.2733333,3.43
736885.0,19.4136667,-155.265,3.23
736885.0,19.3266667,-155.1405,1.51
736884.0,19.4151667,-155.2765,3.51
736884.0,19.4138333,-155.2596667,3.33
736884.0,19.4145,-155.2698333,2.57
736884.0,19.4011667,-155.2676667,3.64
736884.0,19.4093333,-155.2635,3.92
736884.0,19.9793333,-155.5168333,2.2
736883.0,19.41,-155.2631667,3.64
736883.0,19.398,-155.2686667,3.0
736883.0,19.4165,-155.2775,3.59
736883.0,19.4155,-155.2623333,3.16
736883.0,19.4163333,-155.2606667,2.92
736883.0,19.4075,-155.287,2.56
736883.0,19.399,-155.2775,3.57
736883.0,19.3998333,-155.2655,3.02
736883.0,19.416,-155.2746667,3.81
736883.0,19.4121667,-155.2635,3.15
736883.0,19.4123333,-155.2636667,3.06
736883.0,19.4138333,-155.2628333,3.2
736883.0,19.4006667,-155.2835,1.74
736883.0,19.4128333,-155.2658333,3.33
736883.0,19.4153333,-155.2781667,3.74
736883.0,19.4131667,-155.2626667,3.3
736882.0,19.4013333,-155.27,2.92
736882.0,19.4191667,-155.275,3.26
736882.0,19.4163333,-155.2786667,3.28
736882.0,19.4083333,-155.2803333,3.81
736882.0,19.4146667,-155.262,3.05
736882.0,19.6158333,-155.8566667,2.14
736882.0,19.4138333,-155.2775,3.31
736882.0,19.4148333,-155.275,2.77
736882.0,19.4143333,-155.2615,3.23
736881.0,19.4086667,-155.2733333,3.52
736881.0,19.4015,-155.2675,3.6
736881.0,19.4143333,-155.2636667,3.2
736881.0,19.399,-155.2746667,3.29
736881.0,19.416,-155.2766667,3.72
736881.0,19.4125,-155.2663333,3.3
736881.0,19.4093333,-155.2718333,3.7
736881.0,19.4016667,-155.2676667,3.26
736880.0,19.418,-155.2783333,3.89
736880.0,19.403,-155.2641667,2.44
736880.0,19.4096667,-155.2621667,3.57
736880.0,19.4158333,-155.279,3.72
736880.0,19.4138333,-155.2623333,3.81
736880.0,19.4073333,-155.2625,2.43
736880.0,19.4045,-155.275,3.86
736880.0,19.3991667,-155.2708333,3.27
736880.0,19.4148333,-155.2775,3.73
736879.0,19.415,-155.2786667,3.82
736879.0,19.4138333,-155.264,3.55
736879.0,19.4176667,-155.2778333,3.63
736879.0,19.4173333,-155.2658333,3.11
736879.0,19.364,-154.9996667,1.39
736879.0,19.4081667,-155.2628333,3.56
736879.0,19.4145,-155.2746667,3.45
736879.0,19.3973333,-155.269,3.2
736879.0,19.416,-155.2768333,3.61
736879.0,19.4093333,-155.2608333,2.88
736879.0,19.411,-155.2621667,2.91
736878.0,19.416,-155.2746667,5.3
736878.0,19.4185,-155.2875,3.84
736878.0,19.3998333,-155.266,3.58
736878.0,19.4128333,-155.2668333,3.46
736878.0,19.4143333,-155.2746667,3.3
736878.0,19.4001667,-155.2673333,2.78
736878.0,19.1901667,-155.4193333,1.53
736878.0,19.4155,-155.2786667,3.89
736878.0,19.4176667,-155.2763333,3.98
736878.0,19.4128333,-155.2643333,3.61
736878.0,19.4106667,-155.2705,3.17
736878.0,19.1863333,-155.467,2.16
736877.0,19.415,-155.2625,3.29
736877.0,19.2018333,-155.4516667,3.18
736877.0,19.399,-155.2723333,3.71
736877.0,19.398,-155.2706667,3.71
736877.0,19.4183333,-155.2713333,3.33
736877.0,19.4136667,-155.2901667,3.52
736877.0,19.4195,-155.2851667,3.67
736877.0,19.4136667,-155.275,2.62
736877.0,19.4141667,-155.277,3.7
736877.0,19.4145,-155.2766667,3.79
736877.0,19.4171667,-155.273,3.69
736877.0,19.4123333,-155.2616667,3.79
736877.0,19.415,-155.2753333,3.61
736877.0,19.4173333,-155.2775,3.87
736877.0,19.4088333,-155.2611667,3.72
736877.0,19.4125,-155.2758333,3.6
736877.0,19.4095,-155.2826667,2.92
736876.0,19.3976667,-155.2741667,3.66
736876.0,19.4111667,-155.2755,3.72
736876.0,19.517,-156.0826667,2.37
736876.0,19.415,-155.2773333,3.78
736876.0,19.3995,-155.2691667,3.02
736876.0,19.4185,-155.2726667,3.59
736876.0,19.4113333,-155.2818333,3.23
736876.0,19.3388333,-155.2948333,3.79
736875.0,19.4166667,-155.2806667,3.38
736875.0,19.4161667,-155.2743333,3.4
736875.0,19.4135,-155.2715,3.1
736875.0,19.4176667,-155.2665,3.44
736875.0,19.4118333,-155.2681667,3.5
736875.0,19.4,-155.26,3.54
736875.0,19.4193333,-155.2751667,3.41
736875.0,19.4126667,-155.2755,3.35
736875.0,19.4005,-155.2748333,3.53
736875.0,19.4143333,-155.2795,3.31
736875.0,19.4183333,-155.2751667,4.18
736875.0,19.398,-155.2748333,3.97
736875.0,19.4138333,-155.2651667,3.36
736875.0,19.4,-155.2703333,3.21
736875.0,19.418,-155.2768333,4.11
736875.0,19.3186667,-155.1813333,0.72
736874.0,19.4136667,-155.2805,5.2
736874.0,19.4131667,-155.2755,3.67
736874.0,19.3966667,-155.2758333,3.73
736874.0,19.3993333,-155.2691667,3.04
736874.0,19.4143333,-155.2655,3.5
736874.0,19.4168333,-155.2773333,3.45
736874.0,19.412,-155.2846667,3.31
736874.0,19.4016667,-155.2661667,3.49
736874.0,19.4168333,-155.2761667,3.57
736874.0,19.4166667,-155.2765,4.07
